filename,id,name,category,theme,source,source_title,creator,source_url,license,license_url,downloaded_at,screenshot,original_filename,edits,notes
rain-balcony-peaceful.wav,rain-balcony-peaceful,Gentle Rain,rain,mist-rain,Freesound,Rain.wav,idomusics,https://freesound.org/people/idomusics/sounds/518863/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/rain-balcony-peaceful.jpg,,trim; normalize; loop check,Priority default. Peaceful balcony rain; popular candidate.
rain-heavy-open-window.wav,rain-heavy-open-window,Rain on Open Window,rain,garden-rain,Freesound,Rain (Heavy)_From open window.wav,Mar.Sounds,https://freesound.org/people/Mar.Sounds/sounds/630424/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/rain-heavy-open-window.jpg,,trim; normalize; loop check,Priority default. Heavy indoor rain from open window.
indoor-raining-loop.wav,indoor-raining-loop,Indoor Raining Loop,rain,mist-rain,Freesound,Indoor raining loop,Rvgerxini,https://freesound.org/people/Rvgerxini/sounds/527658/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/indoor-raining-loop.jpg,,normalize; loop check,Short loop; good for testing but may feel repetitive.
rain-tent-heavy.wav,rain-tent-heavy,Heavy Rain on Tent,rain,tempest,Freesound,Heavy Rain on a tent,Breviceps,https://freesound.org/people/Breviceps/sounds/484724/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/rain-tent-heavy.jpg,,trim; normalize; loop check,Camping/tent texture; good rain variety.
rain-inside-house.wav,rain-inside-house,Rain from Inside House,rain,garden-rain,Freesound,Rain from Inside House.wav,phillyfan972,https://freesound.org/people/phillyfan972/sounds/519297/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/rain-inside-house.jpg,,trim; normalize; loop check,Attic/inside-house rain; keep only if it auditions warm.
rain-city-pooling.wav,rain-city-pooling,City Rain Pooling,rain,squall,Freesound,raining in the city - rain pooling up - 1,FOSSarts,https://freesound.org/people/FOSSarts/sounds/789162/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/rain-city-pooling.jpg,,needs loop work; normalize,Short city rain texture; likely not a default.
fire-crackling-loop.wav,fire-crackling-loop,Fireplace,fire,hearth,Freesound,fire crackling loop.wav,soundofsong,https://freesound.org/people/soundofsong/sounds/650574/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/fire-crackling-loop.jpg,,trim; normalize; loop check,Priority default. Compare against Nox_Sound and keep the warmer one.
campfire-loop-stereo.wav,campfire-loop-stereo,Campfire,fire,hearth,Freesound,Ambiance_Campfire_Loop_Stereo.wav,Nox_Sound,https://freesound.org/people/Nox_Sound/sounds/558967/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/campfire-loop-stereo.jpg,,trim; normalize; loop check,Alternate fire default candidate.
crickets-at-night-clean.wav,crickets-at-night-clean,Night Crickets,night,distant-storm,Freesound,Crickets At Night - Clean sound,Defelozedd94,https://freesound.org/people/Defelozedd94/sounds/522298/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/crickets-at-night-clean.jpg,,trim; normalize; loop check,Priority default. Strong wide-audience night ambience.
bavaria-meadow-loop.wav,bavaria-meadow-loop,Bavaria Meadow,night,garden-rain,Freesound,Bayerwald Wiesn - Bavaria Meadow,myLoop,https://freesound.org/people/myLoop/sounds/857809/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/bavaria-meadow-loop.jpg,,trim; normalize; evaluate birds,Lovely meadow/crickets/wind; review birds before defaulting.
waves-on-shore.wav,waves-on-shore,Gentle Waves,water,garden-rain,Freesound,WavesOnTheShore.wav,richardemoore,https://freesound.org/people/richardemoore/sounds/260263/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/waves-on-shore.jpg,,normalize; loop check,Priority default if loop is clean.
flowing-water.wav,flowing-water,Flowing Water,water,garden-rain,Freesound,Flowing water,cabled_mess,https://freesound.org/people/cabled_mess/sounds/332250/,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,,provenance/screenshots/flowing-water.jpg,,normalize; loop check,Synthetic but potentially pleasant stream/water wash.
